series_id,step,event,score
08db4255286f,9287,onset,0.4985023474923222
08db4255286f,14440,wakeup,0.49926229065828376
08db4255286f,26562,onset,0.49918056929445914
08db4255286f,27913,wakeup,0.49947099510838633
08db4255286f,28114,onset,0.49872503449880945
08db4255286f,31354,wakeup,0.49793988916398524
08db4255286f,44187,onset,0.49835577534646147
08db4255286f,49103,wakeup,0.49854707520379854
08db4255286f,60339,onset,0.49924846341616774
08db4255286f,66367,wakeup,0.49902579161680655
08db4255286f,79162,onset,0.4984375623131527
08db4255286f,85347,wakeup,0.4986460152790162
08db4255286f,95742,onset,0.4997132533753153
08db4255286f,96085,wakeup,0.49991385347435685
08db4255286f,97986,onset,0.49945436429904033
08db4255286f,98322,wakeup,0.4993963027057461
08db4255286f,98667,onset,0.4992856094946351
08db4255286f,103409,wakeup,0.4989105370767152
08db4255286f,103684,onset,0.4998603836433393
08db4255286f,103978,wakeup,0.4986865951053808
08db4255286f,114203,onset,0.49910283562407465
08db4255286f,118840,wakeup,0.49852013942528006
08db4255286f,130566,onset,0.49845098648825703
08db4255286f,136311,wakeup,0.4986439629811192
08db4255286f,147530,onset,0.4984093276959651
08db4255286f,153427,wakeup,0.4986264054266649
08db4255286f,165773,onset,0.4996954607357743
08db4255286f,165810,wakeup,0.49968685594564455
08db4255286f,166129,onset,0.49955740742159144
08db4255286f,170743,wakeup,0.4985656207819946
08db4255286f,182508,onset,0.49801486252766924
08db4255286f,190213,wakeup,0.4996033421255273
08db4255286f,190561,onset,0.4994541645000744
08db4255286f,190756,wakeup,0.49863666260360817
08db4255286f,200113,onset,0.49973997753181426
08db4255286f,200220,wakeup,0.499403328633549
08db4255286f,200299,onset,0.49966583001181597
08db4255286f,200335,wakeup,0.49984345253003565
08db4255286f,201339,onset,0.49916573537916287
08db4255286f,201450,wakeup,0.49922508556486533
08db4255286f,202288,onset,0.4991931704668148
08db4255286f,206674,wakeup,0.49885723705927265
08db4255286f,218571,onset,0.49905919037457336
08db4255286f,218672,wakeup,0.49930261055427827
08db4255286f,219125,onset,0.49910011440206214
08db4255286f,225096,wakeup,0.4995997076149205
08db4255286f,236530,onset,0.4995086675307138
08db4255286f,241370,wakeup,0.4999003528907435
08db4255286f,241437,onset,0.49923706040440247
08db4255286f,242538,wakeup,0.49985058733075965
08db4255286f,252592,onset,0.49915935337621403
08db4255286f,257102,wakeup,0.4980567033996487
08db4255286f,269744,onset,0.4997904847241438
08db4255286f,274067,wakeup,0.4995908563216319
08db4255286f,286682,onset,0.49882039425005237
08db4255286f,291634,wakeup,0.4984557861621399
08db4255286f,303160,onset,0.49866346555261454
08db4255286f,310447,wakeup,0.49901362946126737
08db4255286f,321640,onset,0.4987921148501822
08db4255286f,322122,wakeup,0.499722593920548
08db4255286f,323443,onset,0.49880479126807065
