series_id,step,event,score
08db4255286f,9313,onset,0.49927776814404506
08db4255286f,14420,wakeup,0.499937933428322
08db4255286f,26558,onset,0.49916248775698413
08db4255286f,27111,wakeup,0.4997332367399473
08db4255286f,27138,onset,0.4998362879339888
08db4255286f,27892,wakeup,0.4994277492181265
08db4255286f,28109,onset,0.4997877884151964
08db4255286f,28206,wakeup,0.49895720220142953
08db4255286f,28262,onset,0.49928562416181305
08db4255286f,31342,wakeup,0.49992670844751086
08db4255286f,44173,onset,0.4998862698353129
08db4255286f,49108,wakeup,0.498149074812735
08db4255286f,60304,onset,0.49928830459612117
08db4255286f,66357,wakeup,0.4980726498622935
08db4255286f,79142,onset,0.4990494857349666
08db4255286f,85344,wakeup,0.4998961828351233
08db4255286f,97992,onset,0.49963429103376705
08db4255286f,98283,wakeup,0.4995839183859668
08db4255286f,98662,onset,0.49911484642834614
08db4255286f,104114,wakeup,0.4991031302294681
08db4255286f,114169,onset,0.49903456704068505
08db4255286f,118831,wakeup,0.4988218599297366
08db4255286f,130537,onset,0.49872739275355116
08db4255286f,136300,wakeup,0.4990702347338939
08db4255286f,147514,onset,0.4986729629762556
08db4255286f,153416,wakeup,0.49797894307892404
08db4255286f,165770,onset,0.49946099737303523
08db4255286f,165789,wakeup,0.4999234486757416
08db4255286f,166087,onset,0.4989108760147738
08db4255286f,170733,wakeup,0.49920495476628296
08db4255286f,182483,onset,0.4995946757869251
08db4255286f,190859,wakeup,0.49809911295543435
08db4255286f,202314,onset,0.49993820498490094
08db4255286f,206767,wakeup,0.49921665989734415
08db4255286f,219120,onset,0.4996591758180645
08db4255286f,225807,wakeup,0.49924152710698294
08db4255286f,236657,onset,0.49974674165207755
08db4255286f,238492,wakeup,0.49948762213765696
08db4255286f,238533,onset,0.49992411325375824
08db4255286f,243303,wakeup,0.49897963869598
08db4255286f,252579,onset,0.4998727718490511
08db4255286f,257095,wakeup,0.499425131873116
08db4255286f,269744,onset,0.49993897097751594
08db4255286f,274063,wakeup,0.49938825994739644
08db4255286f,286680,onset,0.4997828966926486
08db4255286f,291625,wakeup,0.49929897047214294
08db4255286f,303181,onset,0.4983511403320475
08db4255286f,303707,wakeup,0.4995646878888905
08db4255286f,303945,onset,0.499260282307018
08db4255286f,310457,wakeup,0.49879403364851155
08db4255286f,321874,onset,0.49971553097054044
08db4255286f,322039,wakeup,0.4991916839004793
08db4255286f,323425,onset,0.4987600233085748
08db4255286f,329644,wakeup,0.4996048382444894
08db4255286f,340760,onset,0.4995842705162643
08db4255286f,342699,wakeup,0.4998762370276775
08db4255286f,342703,onset,0.49948674117908176
08db4255286f,344695,wakeup,0.4997480234737292
08db4255286f,356945,onset,0.49970299897455656
08db4255286f,357067,wakeup,0.4999402075039472
08db4255286f,357298,onset,0.49945017607005887
08db4255286f,360780,wakeup,0.49800444499404833
08db4255286f,373106,onset,0.49925074885001847
08db4255286f,377859,wakeup,0.4994535356746011
08db4255286f,391130,onset,0.4986001613744807
08db4255286f,399041,wakeup,0.49986521381952165
08db4255286f,399350,onset,0.4994103432518138
08db4255286f,399945,wakeup,0.4987078283672486
08db4255286f,408674,onset,0.49959105263619064
08db4255286f,408917,wakeup,0.4994484509358068
08db4255286f,409405,onset,0.49920929234757233
08db4255286f,411305,wakeup,0.49966970508939423
08db4255286f,411766,onset,0.49935344012761523
08db4255286f,411835,wakeup,0.49985742423748875
08db4255286f,412814,onset,0.49974129538082757
08db4255286f,415263,wakeup,0.4995313815372828
08db4255286f,415723,onset,0.49891966517258984
08db4255286f,416279,wakeup,0.49988836011505466
08db4255286f,416461,onset,0.49956993527666543
08db4255286f,416673,wakeup,0.49975071368191837
08db4255286f,416735,onset,0.49965800824277457
08db4255286f,416952,wakeup,0.49959988387790516
08db4255286f,425665,onset,0.49984404547285555
08db4255286f,426241,wakeup,0.4997555826944643
08db4255286f,426352,onset,0.49956252905291176
08db4255286f,428679,wakeup,0.4987732174698245
08db4255286f,429401,onset,0.49881089129134115
08db4255286f,433573,wakeup,0.49976391017493105
08db4255286f,434054,onset,0.49898573515094835
08db4255286f,434633,wakeup,0.4995074512552167
0a96f4993bd7,8190,onset,0.4994974443218467
0a96f4993bd7,15028,wakeup,0.4980311492601773
0a96f4993bd7,26059,onset,0.49876326601733023
0a96f4993bd7,33855,wakeup,0.49845866112439347
0a96f4993bd7,44931,onset,0.49866750017731226
0a96f4993bd7,51102,wakeup,0.49961150901691687
0a96f4993bd7,60857,onset,0.4981107840473315
0a96f4993bd7,67139,wakeup,0.49865399994772575
0a96f4993bd7,77097,onset,0.4996354651047417
0a96f4993bd7,83975,wakeup,0.49909792160646366
0a96f4993bd7,94694,onset,0.4982037192427167
0a96f4993bd7,101098,wakeup,0.4985866254799906
0a96f4993bd7,112004,onset,0.4985609474633599
0a96f4993bd7,118801,wakeup,0.49922002902188617
0a96f4993bd7,129397,onset,0.4989021614624883
0a96f4993bd7,136046,wakeup,0.4993673824514819
0a96f4993bd7,148045,onset,0.4999434408584603
0a96f4993bd7,154756,wakeup,0.4985443789753954
0a96f4993bd7,154811,onset,0.49916013406495346
0a96f4993bd7,155305,wakeup,0.4997821944077179
0a96f4993bd7,166746,onset,0.4994580626892547
0a96f4993bd7,171750,wakeup,0.498758219368073
0a96f4993bd7,181744,onset,0.4983720745114299
0a96f4993bd7,182027,wakeup,0.4997992899308475
0a96f4993bd7,182551,onset,0.4988498319766414
0a96f4993bd7,188117,wakeup,0.49872128332089116
0a96f4993bd7,198494,onset,0.49831383380607713
0a96f4993bd7,205456,wakeup,0.49855504342200896
0a96f4993bd7,215286,onset,0.49983716277674844
0a96f4993bd7,215389,wakeup,0.4996774921509234
0a96f4993bd7,215393,onset,0.4996235483667995
0a96f4993bd7,222560,wakeup,0.4995014934494042
0a96f4993bd7,232570,onset,0.49944426442241036
0a96f4993bd7,239670,wakeup,0.49897947116637914
0a96f4993bd7,249527,onset,0.49818692818664845
0a96f4993bd7,256260,wakeup,0.4823055675998398
0cfc06c129cc,0,onset,0.48366399659400633
0cfc06c129cc,10,wakeup,0.4993439490456227
0cfc06c129cc,7362,onset,0.4996197850423016
0cfc06c129cc,14084,wakeup,0.49997553561566566
0cfc06c129cc,24454,onset,0.4985530674440889
0cfc06c129cc,30974,wakeup,0.49896942938720346
0cfc06c129cc,41744,onset,0.49871255051314933
0cfc06c129cc,48103,wakeup,0.49986940486999576
0cfc06c129cc,59344,onset,0.49878020491902403
0cfc06c129cc,65326,wakeup,0.49898813331620684
0cfc06c129cc,76536,onset,0.49803578187842495
0cfc06c129cc,82524,wakeup,0.4992316040695203
0cfc06c129cc,94576,onset,0.4991989415282306
0cfc06c129cc,99921,wakeup,0.4995765072545295
0cfc06c129cc,110290,onset,0.49916828324274753
0cfc06c129cc,117318,wakeup,0.49967067953098504
0cfc06c129cc,128069,onset,0.4981448146589804
0cfc06c129cc,134577,wakeup,0.49950970806947337
0cfc06c129cc,145058,onset,0.4984639217195521
0cfc06c129cc,151200,wakeup,0.4998209767665593
0cfc06c129cc,162491,onset,0.4998355253474957
0cfc06c129cc,169026,wakeup,0.49964100445840076
0cfc06c129cc,179521,onset,0.4985563031767764
0cfc06c129cc,179752,wakeup,0.49991539444528166
0cfc06c129cc,180363,onset,0.4990687648392909
0cfc06c129cc,185454,wakeup,0.49802708304953425
0cfc06c129cc,198004,onset,0.4987089759431835
0cfc06c129cc,203613,wakeup,0.4981264452103306
0cfc06c129cc,214742,onset,0.4989368788368159
0cfc06c129cc,220415,wakeup,0.4985658438948912
0cfc06c129cc,231798,onset,0.4982028403154052
0cfc06c129cc,238088,wakeup,0.4983100433651954
0cfc06c129cc,249109,onset,0.497911354321193
0cfc06c129cc,255401,wakeup,0.49947483120979824
0cfc06c129cc,266699,onset,0.4999877947488796
0cfc06c129cc,273003,wakeup,0.49930214358483554
0cfc06c129cc,283935,onset,0.4997279428275073
0cfc06c129cc,289997,wakeup,0.49816526971416936
0cfc06c129cc,301525,onset,0.4991220912438042
0cfc06c129cc,307923,wakeup,0.49870171631771876
0cfc06c129cc,318325,onset,0.49997378175693347
0cfc06c129cc,324765,wakeup,0.49886981379588397
0cfc06c129cc,335680,onset,0.4993394840121708
0cfc06c129cc,342661,wakeup,0.49890420387782886
0cfc06c129cc,352417,onset,0.49969018630904977
0cfc06c129cc,359823,wakeup,0.4996696663053336
0ef7d94fde99,3709,onset,0.49986592400019775
0ef7d94fde99,9974,wakeup,0.4997766021869335
0ef7d94fde99,20475,onset,0.49942963128743384
0ef7d94fde99,27458,wakeup,0.4995609807791134
0ef7d94fde99,36327,onset,0.4991636193067073
0ef7d94fde99,43566,wakeup,0.49955051724147714
0ef7d94fde99,53863,onset,0.49889419153180214
0ef7d94fde99,60995,wakeup,0.4982095955555048
0ef7d94fde99,71714,onset,0.4995021595319575
0ef7d94fde99,77879,wakeup,0.4990205807250054
0ef7d94fde99,88837,onset,0.4989720499889585
0ef7d94fde99,95423,wakeup,0.4985446911476289
0ef7d94fde99,106003,onset,0.49995523175589557
0ef7d94fde99,112296,wakeup,0.4991067335347013
0ef7d94fde99,125624,onset,0.4995060925185963
0ef7d94fde99,130535,wakeup,0.4998720967638379
0ef7d94fde99,142045,onset,0.49888164015026004
0ef7d94fde99,147922,wakeup,0.49898227204462986
0ef7d94fde99,158174,onset,0.4994042699063678
0ef7d94fde99,164754,wakeup,0.49912044017714247
0ef7d94fde99,174993,onset,0.4982788316896208
0ef7d94fde99,181365,wakeup,0.49807371509622206
0ef7d94fde99,192448,onset,0.4999370196630357
0ef7d94fde99,193026,wakeup,0.49921843492938595
0ef7d94fde99,193045,onset,0.4997481064017794
0ef7d94fde99,193048,wakeup,0.49998518939718056
0ef7d94fde99,193050,onset,0.49998284403768545
0ef7d94fde99,193073,wakeup,0.4988168195060873
0ef7d94fde99,193152,onset,0.4994686466873009
0ef7d94fde99,198868,wakeup,0.49885279270556576
0ef7d94fde99,209936,onset,0.4981093665571779
0ef7d94fde99,216256,wakeup,0.4998629937446776
0ef7d94fde99,226977,onset,0.4998580433980176
0ef7d94fde99,227761,wakeup,0.4986279240632078
0ef7d94fde99,227901,onset,0.49954929096367673
0ef7d94fde99,228116,wakeup,0.4999223754879153
0ef7d94fde99,228495,onset,0.49992527931727415
0ef7d94fde99,233655,wakeup,0.4981218439633692
0ef7d94fde99,246199,onset,0.4996516425068651
0ef7d94fde99,251449,wakeup,0.4999382167697736
0ef7d94fde99,262362,onset,0.49996231744017033
0ef7d94fde99,268516,wakeup,0.4994956610434919
0ef7d94fde99,278503,onset,0.4987486240856215
0ef7d94fde99,285495,wakeup,0.4999583664226375
0ef7d94fde99,296161,onset,0.49852698355357045
0ef7d94fde99,302723,wakeup,0.4992764069169912
0ef7d94fde99,313540,onset,0.4999773520546873
0ef7d94fde99,313811,wakeup,0.49992249137261235
0ef7d94fde99,314177,onset,0.49994413984937186
